Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"tap(findTestObject(""Productions/General/Term and Condition/Close""), 3)",,,,2023-05-16 16:05:21,2023-05-16 16:05:23,1.993s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-05-16 16:05:23,2023-05-16 16:05:28,5.012s,PASSED
closeApplication(),,,,2023-05-16 16:05:28,2023-05-16 16:05:28,0.327s,PASSED
Start listener action : sampleAfterTestCase,,,,2023-05-16 16:05:28,2023-05-16 16:05:28,0.005s,PASSED
,,,,,,,
Test Cases/Production/Profile/Device/App Version,,,,2023-05-16 16:05:28,2023-05-16 16:06:01,32.588s,PASSED
"startExistingApplication(""com.kfc.mobile"", STOP_ON_FAILURE)",,,,2023-05-16 16:05:28,2023-05-16 16:05:46,18.039s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-05-16 16:05:46,2023-05-16 16:05:51,5.007s,PASSED
"tap(findTestObject(""Productions/Menu/Profile""), 0)",,,,2023-05-16 16:05:51,2023-05-16 16:05:54,2.305s,PASSED
"verifyElementVisible(findTestObject(""Productions/Device/Version Apps""), 3)",,,,2023-05-16 16:05:54,2023-05-16 16:05:55,1.628s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-05-16 16:05:55,2023-05-16 16:06:00,5.009s,PASSED
closeApplication(),,,,2023-05-16 16:06:00,2023-05-16 16:06:01,0.307s,PASSED
Start listener action : sampleAfterTestCase,,,,2023-05-16 16:06:01,2023-05-16 16:06:01,0.005s,PASSED
,,,,,,,
Test Cases/Production/Profile/Device/Linked Account,,,,2023-05-16 16:06:01,2023-05-16 16:06:32,31.216s,FAILED
"startExistingApplication(""com.kfc.mobile"", STOP_ON_FAILURE)",,,,2023-05-16 16:06:01,2023-05-16 16:06:18,17.195s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-05-16 16:06:18,2023-05-16 16:06:23,5.013s,PASSED
"tap(findTestObject(""Productions/Menu/Profile""), 0)",,,,2023-05-16 16:06:23,2023-05-16 16:06:26,2.801s,PASSED
"tap(findTestObject(""Productions/General/Linked Account/Menu - Linked Account""), 3)",,,,2023-05-16 16:06:26,2023-05-16 16:06:28,2.031s,PASSED
"verifyElementVisible(findTestObject(""Productions/General/Linked Account/Payment Account""), 3)",,,,2023-05-16 16:06:28,2023-05-16 16:06:32,3.873s,FAILED
Start listener action : sampleAfterTestCase,,,,2023-05-16 16:06:32,2023-05-16 16:06:32,0.004s,PASSED
,,,,,,,
Test Cases/Production/Profile/Device/Logout,,,,2023-05-16 16:06:32,2023-05-16 16:07:05,33.440s,PASSED
"startExistingApplication(""com.kfc.mobile"", STOP_ON_FAILURE)",,,,2023-05-16 16:06:32,2023-05-16 16:06:48,15.570s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-05-16 16:06:48,2023-05-16 16:06:53,5.006s,PASSED
"tap(findTestObject(""Productions/Menu/Profile""), 0)",,,,2023-05-16 16:06:53,2023-05-16 16:06:56,3.256s,PASSED
"tap(findTestObject(""Productions/Device/Log Out""), 3)",,,,2023-05-16 16:06:56,2023-05-16 16:06:58,2.075s,PASSED
"verifyElementVisible(findTestObject(""Productions/Login/Logout - Yes""), 3)",,,,2023-05-16 16:06:58,2023-05-16 16:06:59,1.016s,PASSED
"verifyElementVisible(findTestObject(""Productions/Login/Logout - Cancel""), 3)",,,,2023-05-16 16:06:59,2023-05-16 16:07:00,0.436s,PASSED
"tap(findTestObject(""Productions/Login/Logout - Yes""), 3)",,,,2023-05-16 16:07:00,2023-05-16 16:07:00,0.459s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-05-16 16:07:00,2023-05-16 16:07:05,5.012s,PASSED
closeApplication(),,,,2023-05-16 16:07:05,2023-05-16 16:07:05,0.320s,PASSED
Start listener action : sampleAfterTestCase,,,,2023-05-16 16:07:05,2023-05-16 16:07:05,0.006s,PASSED
