Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
device_Height = getDeviceHeight(),,Get Device Height and Store in to device_height variable,,2023-01-25 18:14:39,2023-01-25 18:14:39,0.121s,PASSED
device_Width = getDeviceWidth(),,Get Width Height and Store in to device_Width variable,,2023-01-25 18:14:39,2023-01-25 18:14:39,0.123s,PASSED
startY = device_Height / 2,,Storing the value in startY variable by dividing device height by 2 Because Y coordinates are constant,,2023-01-25 18:14:39,2023-01-25 18:14:39,0.003s,PASSED
endY = startY,,Here startY and endY values are equal for Horizontal Swiping for that assigning startX value to endX,,2023-01-25 18:14:39,2023-01-25 18:14:39,0.001s,PASSED
startX = device_Width * 0.30,,Storing the value in startX variable,,2023-01-25 18:14:39,2023-01-25 18:14:39,0.002s,PASSED
endX = device_Width * 0.70,,Storing the value in endX variable,,2023-01-25 18:14:39,2023-01-25 18:14:39,0.000s,PASSED
"swipe(endX, startY, startX, endY)",,Here Y constant for Swipe Horizontal Right to Left,,2023-01-25 18:14:39,2023-01-25 18:14:40,1.126s,PASSED
"waitForElementPresent(findTestObject(""Order Type/android.widget.TextView - DRIVE-THRU""), 10)",,,,2023-01-25 18:14:40,2023-01-25 18:14:40,0.424s,PASSED
"tap(findTestObject(""Order Type/android.widget.TextView - DRIVE-THRU""), 5)",,,,2023-01-25 18:14:40,2023-01-25 18:14:42,1.377s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/android.widget.EditText - Cari Gerai KFC""), 5)",,,,2023-01-25 18:14:42,2023-01-25 18:14:47,5.170s,PASSED
"tap(findTestObject(""Object Repository/Order Dine In/android.widget.TextView - Cari Gerai KFC""), 5)",,,,2023-01-25 18:14:47,2023-01-25 18:14:48,1.057s,PASSED
"setText(findTestObject(""Object Repository/Order Dine In/android.widget.EditText - Cari Gerai KFC""), ""MT Haryono"", 5)",,,,2023-01-25 18:14:48,2023-01-25 18:14:52,4.047s,PASSED
hideKeyboard(),,,,2023-01-25 18:14:52,2023-01-25 18:14:55,2.768s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/android.widget.TextView - MT HARYONO JAKARTA""), 5)",,,,2023-01-25 18:14:55,2023-01-25 18:15:00,5.323s,PASSED
"tap(findTestObject(""Order Dine In/Order/android.widget.Button - Pilih Gerai""), 5)",,,,2023-01-25 18:15:00,2023-01-25 18:15:01,0.278s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:15:01,2023-01-25 18:15:06,5.002s,PASSED
"tap(findTestObject(""Order Dine In/android.widget.FrameLayout""), 5)",,,,2023-01-25 18:15:06,2023-01-25 18:15:06,0.915s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:15:06,2023-01-25 18:15:11,5.013s,PASSED
pressBack(),,,,2023-01-25 18:15:11,2023-01-25 18:15:12,0.891s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/android.widget.Button - Add""), 5)",,,,2023-01-25 18:15:12,2023-01-25 18:15:13,0.950s,PASSED
"tap(findTestObject(""Order Dine In/android.widget.Button - Add""), 5)",,,,2023-01-25 18:15:13,2023-01-25 18:15:14,0.274s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:15:14,2023-01-25 18:15:19,5.016s,PASSED
"waitForElementPresent(findTestObject(""Order Dine In/Order/android.widget.Button - Lanjut""), 5)",,,,2023-01-25 18:15:19,2023-01-25 18:15:19,0.280s,PASSED
"tap(findTestObject(""Order Dine In/Order/android.widget.Button - Lanjut""), 5)",,,,2023-01-25 18:15:19,2023-01-25 18:15:19,0.308s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-01-25 18:15:19,2023-01-25 18:15:24,5.010s,PASSED
